KAUFDATUM;PRODUKT;GRÖßE;EINZELPREIS;STORE;MARKTWERT;VERKAUFSDATUM;VERKAUFSPREIS;VERKAUFSERLÖS;PROFIT;ZAHLUNG;VERKAUFSPLATTFORM;SALDO;MAX EINNAHMEN Netto;MAX EINNAHMEN Brutto;LAGERWERT;SCHUHE RÜCKZAHLEN
11. Juli 2020;Nike WMNS Air Force 1 07 LX 'Bling' (2020);39;-119,99 €;NIKE;;3. Aug. 2020;144,00 €;121,72 €;1,73 €;PAYPAL;StockX;;;;;
11. Juli 2020;Nike WMNS Air Force 1 07 LX 'Bling' (2020);39;-119,99 €;NIKE;;3. Aug. 2020;144,00 €;121,72 €;1,73 €;PAYPAL;StockX;;;;;
11. Juli 2020;Nike WMNS Air Force 1 07 LX 'Bling' (2020);42,5;-119,99 €;Size?;;4. Aug. 2020;119,99 €;119,99 €;0,00 €;PAYPAL;RETOURE;;;;;
4. August 2020;Converse x Fear of God Chuck Taylor 70s Hi Black Natural;44,5;-110,00 €;Converse;;14. Aug. 2020;140,00 €;118,20 €;8,20 €;PAYPAL;StockX;;;;;
8. August 2020;Nike Air Max 1 SNKRS Day White;42;-169,99 €;NIKE;;17. März 2022;117,00 €;101,79 €;-68,20 €;HyperWallet;StockX;;;;;
11. August 2020;Converse x Fear of God Chuck Taylor 70s Hi Natural;45;-110,00 €;Converse;;31. Aug. 2020;110,00 €;110,00 €;0,00 €;PAYPAL;RETOURE;;;;;
14. August 2020;Air Jordan WMNS 1 Retro High 'Satin Snake Chicago' (2020);39;-159,99 €;NIKE;;29. Aug. 2020;227,00 €;194,00 €;34,01 €;PAYPAL;KLEKT;;;;;
1. September 2020;"Nike SB Dunk Low Pro ""Chicago"" (2020)";37,5;-99,99 €;NIKE;;17. März 2022;309,00 €;268,83 €;168,84 €;HyperWallet;StockX;;;;;
3. September 2020;Air Jordan 1 High Zoom Space Hippie 'Crater' (2020);45;-179,99 €;NIKE;;15. Okt. 2020;179,99 €;179,99 €;0,00 €;MasterCard;RETOURE;;;;;
4. September 2020;Air Jordan 1 High OG 'Bio Hack' (2020);45,5;-169,99 €;NIKE;;30. Nov. 2020;287,00 €;265,47 €;95,48 €;HyperWallet;StockX;;;;;
1. Oktober 2020;Nike Air Rubber Dunk Off-White University Blue (2020);36,5;-169,99 €;NIKE;;29. Nov. 2020;227;191,00 €;21,01 €;PAYPAL;KLEKT;;;;;
15. Oktober 2020;Air Jordan WMNS 1 High OG 'Lucky Green' (2020);38,5;-215,00 €;END.;;5. Dez. 2020;215,00 €;215,00 €;0,00 €;CASH;Feyza;;;;;
